"","article title","author","journal information","years of publication","number of citation"
"23","Generalized linear and generalized additive models in studies of species distributions: setting the scene","A Guisan, TC Edwards Jr, T Hastie","Ecological modelling 157 (2-3), 89-100, 2002","2002","1551"
"24","Linear smoothers and additive models","A Buja, T Hastie, R Tibshirani","The Annals of Statistics, 453-510, 1989","1989","1164"
"25","Discriminant adaptive nearest neighbor classification and regression","T Hastie, R Tibshirani","Advances in Neural Information Processing Systems, 409-415, 1996","1996","1057"
"26","Robustness, scalability, and integration of a wound-response gene expression signature in predicting breast cancer survival","HY Chang, DSA Nuyten, JB Sneddon, T Hastie, R Tibshirani, T Sørlie, ...","Proceedings of the National Academy of Sciences 102 (10), 3738-3743, 2005","2005","998"
"27","Introduction","LB Cummings","Empathy as Dialogue in Theatre and Performance, 1-38, 2016","2016","983"
"28","Low-molecular-weight heparins compared with unfractionated heparin for treatment of acute deep venous thrombosis: a meta-analysis of randomized, controlled trials","MK Gould, AD Dembitzer, RL Doyle, TJ Hastie, AM Garber","Annals of Internal Medicine 130 (10), 800-809, 1999","1999","960"
"29","A penalized matrix decomposition, with applications to sparse principal components and canonical correlation analysis","DM Witten, R Tibshirani, T Hastie","Biostatistics 10 (3), 515-534, 2009","2009","896"
"30","Penalized discriminant analysis","T Hastie, A Buja, R Tibshirani","The Annals of Statistics, 73-102, 1995","1995","892"
"31","1-norm support vector machines","J Zhu, S Rosset, R Tibshirani, TJ Hastie","Advances in neural information processing systems, 49-56, 2004","2004","880"
"32","Neural networks and related methods for classification","BD Ripley","Journal of the Royal Statistical Society. Series B (Methodological), 409-456, 1994","1994","846"
"33","Discriminant analysis by Gaussian mixtures","T Hastie, R Tibshirani","Journal of the Royal Statistical Society. Series B (Methodological), 155-176, 1996","1996","776"
"34","L1‐regularization path algorithm for generalized linear models","MY Park, T Hastie","Journal of the Royal Statistical Society: Series B (Statistical Methodology …, 2007","2007","761"
"35","On the “degrees of freedom” of the lasso","H Zou, T Hastie, R Tibshirani","The Annals of Statistics 35 (5), 2173-2192, 2007","2007","759"
"36","The entire regularization path for the support vector machine","T Hastie, S Rosset, R Tibshirani, J Zhu","Journal of Machine Learning Research 5 (Oct), 1391-1415, 2004","2004","709"
"37","Multi-class adaboost","T Hastie, S Rosset, J Zhu, H Zou","Statistics and its Interface 2 (3), 349-360, 2009","2009","689"
"38","Statistical learning with sparsity: the lasso and generalizations","T Hastie, R Tibshirani, M Wainwright","CRC press, 2015","2015","663"
"39","'Gene shaving'as a method for identifying distinct sets of genes with similar expression patterns","T Hastie, R Tibshirani, MB Eisen, A Alizadeh, R Levy, L Staudt, WC Chan, ...","Genome biology 1 (2), research0003. 1, 2000","2000","655"
"40","Classification algorithms","M James","Wiley-Interscience, 1985","1985","636"
"41","Flexible discriminant analysis by optimal scoring","T Hastie, R Tibshirani, A Buja","Journal of the American statistical association 89 (428), 1255-1270, 1994","1994","628"
"42","Local likelihood estimation","R Tibshirani, T Hastie","Journal of the American Statistical Association 82 (398), 559-567, 1987","1987","603"
"43","Statistical analysis of gene expression microarray data","T Speed","CRC Press, 2003","2003","600"
"44","Spectral regularization algorithms for learning large incomplete matrices","R Mazumder, T Hastie, R Tibshirani","Journal of machine learning research 11 (Aug), 2287-2322, 2010","2010","586"
"45","Bone mineral acquisition in healthy Asian, Hispanic, black, and Caucasian youth: a longitudinal study","LK Bachrach, T Hastie, MC Wang, B Narasimhan, R Marcus","The Journal of Clinical Endocrinology & Metabolism 84 (12), 4702-4712, 1999","1999","569"
"46","Prediction by supervised principal components","E Bair, T Hastie, D Paul, R Tibshirani","Journal of the American Statistical Association 101 (473), 119-137, 2006","2006","558"
"47","Gene expression programs in response to hypoxia: cell type specificity and prognostic significance in human cancers","JT Chi, Z Wang, DSA Nuyten, EH Rodriguez, ME Schaner, A Salim, ...","PLoS medicine 3 (3), e47, 2006","2006","557"
"48","A note on the group lasso and a sparse group lasso","J Friedman, T Hastie, R Tibshirani","arXiv preprint arXiv:1001.0736, 2010","2010","548"
"49","Genome-wide association analysis by lasso penalized logistic regression","TT Wu, YF Chen, T Hastie, E Sobel, K Lange","Bioinformatics 25 (6), 714-721, 2009","2009","541"
"50","Local regression: Automatic kernel carpentry","T Hastie, C Loader","Statistical Science 8 (2), 120-129, 1993","1993","541"
"51","A sparse-group lasso","N Simon, J Friedman, T Hastie, R Tibshirani","Journal of Computational and Graphical Statistics 22 (2), 231-245, 2013","2013","532"
"52","Generalized additive models, volume 43 of Monographs on Statistics and Applied Probability","TJ Hastie, RJ Tibshirani","Chapman & Hall, London, 1990","1990","505"
"53","Kernel logistic regression and the import vector machine","J Zhu, T Hastie","Advances in neural information processing systems, 1081-1088, 2002","2002","495"
"54","Regularized linear discriminant analysis and its application in microarrays","Y Guo, T Hastie, R Tibshirani","Biostatistics 8 (1), 86-100, 2006","2006","490"
"55","The elements of statistical learning: data mining, inference, and prediction","ZQ John Lu","Journal of the Royal Statistical Society: Series A (Statistics in Society …, 2010","2010","477"
"56","The geometric interpretation of correspondence analysis","M Greenacre, T Hastie","Journal of the American statistical association 82 (398), 437-447, 1987","1987","429"
"57","The solution path of the generalized lasso","RJ Tibshirani","Stanford University, 2011","2011","423"
"58","Class prediction by nearest shrunken centroids, with applications to DNA microarrays","R Tibshirani, T Hastie, B Narasimhan, G Chu","Statistical Science, 104-117, 2003","2003","411"
"59","Generalized linear models","TJ Hastie","Statistical models in S, 1992","1992","411"
"60","Generalized additive models: some applications","T Hastie, R Tibshirani","Journal of the American Statistical Association 82 (398), 371-386, 1987","1987","408"
"61","Very sparse random projections","P Li, TJ Hastie, KW Church","Proceedings of the 12th ACM SIGKDD international conference on Knowledge …, 2006","2006","406"
"62","Regularization paths for Cox’s proportional hazards model via coordinate descent","N Simon, J Friedman, T Hastie, R Tibshirani","Journal of statistical software 39 (5), 1, 2011","2011","399"
"63","Variation in demersal fish species richness in the oceans surrounding New Zealand: an analysis using boosted regression trees","JR Leathwick, J Elith, MP Francis, T Hastie, P Taylor","Marine Ecology Progress Series 321, 267-281, 2006","2006","399"
"64","Making better biogeographical predictions of species’ distributions","A Guisan, A Lehmann, S Ferrier, M Austin, JMC Overton, R Aspinall, ...","Journal of Applied Ecology 43 (3), 386-392, 2006","2006","395"
"65","Principal component models for sparse functional data","GM James, TJ Hastie, CA Sugar","Biometrika 87 (3), 587-602, 2000","2000","393"
"66","Sparse discriminant analysis","L Clemmensen, T Hastie, D Witten, B Ersbøll","Technometrics 53 (4), 406-413, 2011","2011","375"
"67","Classification of gene microarrays by penalized logistic regression","J Zhu, T Hastie","Biostatistics 5 (3), 427-443, 2004","2004","371"
"68","Meta-analysis of trials comparing β-blockers, calcium antagonists, and nitrates for stable angina","PA Heidenreich, KM McDonald, T Hastie, B Fadel, V Hagan, BK Lee, ...","Jama 281 (20), 1927-1936, 1999","1999","358"
"69","Penalized logistic regression for detecting gene interactions","MY Park, T Hastie","Biostatistics 9 (1), 30-50, 2007","2007","353"
"70","Gene expression patterns in ovarian carcinomas","ME Schaner, DT Ross, G Ciaravino, T Sørlie, O Troyanskaya, M Diehn, ...","Molecular biology of the cell 14 (11), 4376-4386, 2003","2003","350"
"71","Model assessment and selection","T Hastie, J Friedman, R Tibshirani","The elements of statistical learning, 193-224, 2001","2001","332"
"72","SparseNet: Coordinate Descent With Nonconvex Penalties","R Mazumder, JH Friedman, T Hastie","Journal of the American Statistical Association 106 (495), 1125-1138, 2011","2011","319"
"73","Comparative performance of generalized additive models and multivariate adaptive regression splines for statistical modelling of species distributions","JR Leathwick, J Elith, T Hastie","Ecological modelling 199 (2), 188-196, 2006","2006","314"
"74","Using multivariate adaptive regression splines to predict the distributions of New Zealand's freshwater diadromous fish","JR Leathwick, D Rowe, J Richardson, J Elith, T Hastie","Freshwater Biology 50 (12), 2034-2052, 2005","2005","300"
"75","Cell type–specific gene expression differences in complex tissues","SS Shen-Orr, R Tibshirani, P Khatri, DL Bodian, F Staedtler, NM Perry, ...","Nature methods 7 (4), 287, 2010","2010","296"
"76","Functional linear discriminant analysis for irregularly sampled curves","GM James, TJ Hastie","Journal of the Royal Statistical Society: Series B (Statistical Methodology …, 2001","2001","284"
"77","glmnet: Lasso and elastic-net regularized generalized linear models","J Friedman, T Hastie, R Tibshirani","R package version 1 (4), 2009","2009","275"
"78","Sample classification from protein mass spectrometry, by ‘peak probability contrasts’","R Tibshirani, T Hastie, B Narasimhan, S Soltys, G Shi, A Koong, QT Le","bioinformatics 20 (17), 3034-3044, 2004","2004","267"
"79","Strong rules for discarding predictors in lasso‐type problems","R Tibshirani, J Bien, J Friedman, T Hastie, N Simon, J Taylor, ...","Journal of the Royal Statistical Society: Series B (Statistical Methodology …, 2012","2012","255"
"80","Network-based elucidation of human disease similarities reveals common functional modules enriched for pluripotent drug targets","S Suthram, JT Dudley, AP Chiang, R Chen, TJ Hastie, AJ Butte","PLoS computational biology 6 (2), e1000662, 2010","2010","253"
"81","Boosting as a regularized path to a maximum margin classifier","S Rosset, J Zhu, T Hastie","Journal of Machine Learning Research 5 (Aug), 941-973, 2004","2004","240"
"82","Linear models","JM Chambers","Statistical models in S, 95-144, 2017","2017","239"
"83","Principal curves and surfaces","T Hastie","STANFORD UNIV CA LAB FOR COMPUTATIONALSTATISTICS, 1984","1984","233"
"84","Discriminative vs Informative Learning.","YD Rubinstein, T Hastie","KDD 5, 49-53, 1997","1997","230"
"85","Supervised harvesting of expression trees","T Hastie, R Tibshirani, D Botstein, P Brown","Genome Biology 2 (1), research0003. 1, 2001","2001","225"
"86","Generalized additive models for medical research","T Hastie, R Tibshirani","Statistical methods in medical research 4 (3), 187-196, 1995","1995","225"
"87","Risk factors for progressive cartilage loss in the knee: a longitudinal magnetic resonance imaging study in forty‐three patients","S Biswal, T Hastie, TP Andriacchi, GA Bergman, MF Dillingham, P Lang","Arthritis & Rheumatism: Official Journal of the American College of …, 2002","2002","219"
"88","The elements of statistical learning, ser","T Hastie, R Tibshirani, J Friedman","Springer Series in Statistics. New York, NY, USA: Springer New York Inc, 2001","2001","202"
"89","Support vector machines with applications","JM Moguerza, A Muñoz","Statistical Science 21 (3), 322-336, 2006","2006","196"
"90","Presence‐only data and the EM algorithm","G Ward, T Hastie, S Barry, J Elith, JR Leathwick","Biometrics 65 (2), 554-563, 2009","2009","194"
"91","Exploring the nature of covariate effects in the proportional hazards model","T Hastie, R Tibshirani","Biometrics, 1005-1016, 1990","1990","192"
"92","Forward stagewise regression and the monotone lasso","T Hastie, J Taylor, R Tibshirani, G Walther","Electronic Journal of Statistics 1, 1-29, 2007","2007","182"
"93","Clustering methods for the analysis of DNA microarray data","R Tibshirani, T Hastie, M Eisen, D Ross, D Botstein, P Brown","Dept. Statist., Stanford Univ., Stanford, CA, Tech. Rep, 1999","1999","182"
"94","Imputing missing data for gene expression arrays","T Hastie, R Tibshirani, G Sherlock, M Eisen, P Brown, D Botstein","Stanford University Statistics Department Technical report, 1999","1999","172"
"95","Improved semiparametric time series models of air pollution and mortality","F Dominici, A McDermott, TJ Hastie","Journal of the American Statistical Association 99 (468), 938-948, 2004","2004","168"
"96","Outlier sums for differential gene expression analysis","R Tibshirani, T Hastie","Biostatistics 8 (1), 2-8, 2006","2006","167"
"97","Bayesian backfitting (with comments and a rejoinder by the authors","T Hastie, R Tibshirani","Statistical Science 15 (3), 196-223, 2000","2000","167"
"98","Discussion","T Hastie, C Mallows","Technometrics 35 (2), 140-143, 1993","1993","162"
"99","Optimization and evaluation of T7 based RNA linear amplification protocols for cDNA microarray analysis","H Zhao, T Hastie, ML Whitfield, AL Børresen-Dale, SS Jeffrey","BMC genomics 3 (1), 31, 2002","2002","159"
"100","Earth: multivariate adaptive regression spline models","S Milborrow","R package version 3, 2-7, 2014","2014","158"
"101","Novel methods for the design and evaluation of marine protected areas in offshore waters","J Leathwick, A Moilanen, M Francis, J Elith, P Taylor, K Julian, T Hastie, ...","Conservation Letters 1 (2), 91-102, 2008","2008","154"
"102","lars: Least angle regression, lasso and forward stagewise","T Hastie, B Efron","R package version 0.9-8, 2011","2011","153"
"103","Post-transplantation lymphoproliferative disease in heart and heart–lung transplant recipients: 30-year experience at Stanford University","SZ Gao, SV Chaparro, M Perlroth, JG Montoya, JL Miller, S DiMiceli, ...","The Journal of heart and lung transplantation 22 (5), 505-514, 2003","2003","153"
"104","Exact covariance thresholding into connected components for large-scale graphical lasso","R Mazumder, T Hastie","Journal of Machine Learning Research 13 (Mar), 781-794, 2012","2012","149"
"105","Computer age statistical inference","B Efron, T Hastie","Cambridge University Press, 2016","2016","147"
"106","Dispersal, disturbance and the contrasting biogeographies of New Zealand’s diadromous and non‐diadromous fish species","JR Leathwick, J Elith, WL Chadderton, D Rowe, T Hastie","Journal of Biogeography 35 (8), 1481-1497, 2008","2008","138"
"107","Pseudosplines","T Hastie","Journal of the Royal Statistical Society. Series B (Methodological), 379-396, 1996","1996","137"
"108","Averaged gene expressions for regression","MY Park, T Hastie, R Tibshirani","Biostatistics 8 (2), 212-227, 2006","2006","131"
"109","Reduced-rank vector generalized linear models","TW Yee, TJ Hastie","Statistical modelling 3 (1), 15-41, 2003","2003","128"
"110","Brain anatomy, gender and IQ in children and adolescents with fragile X syndrome","S Eliez, CM Blasey, LS Freund, T Hastie, AL Reiss","Brain 124 (8), 1610-1618, 2001","2001","128"
"111","Cortisol and behavior in fragile X syndrome","D Hessl, B Glaser, J Dyer-Friedman, C Blasey, T Hastie, M Gunnar, ...","Psychoneuroendocrinology 27 (7), 855-872, 2002","2002","125"
"112","Learning and tracking cyclic human motion","D Ormoneit, H Sidenbladh, MJ Black, T Hastie","Advances in Neural Information Processing Systems, 894-900, 2001","2001","125"
"113","Quantitative measurements of alternating finger tapping in Parkinson's disease correlate with UPDRS motor disability and reveal the improvement in fine motor control from …","AL Taylor Tavares, GSXE Jefferis, M Koop, BC Hill, T Hastie, G Heit, ...","Movement disorders: official journal of the Movement Disorder Society 20 (10 …, 2005","2005","121"
"114","The sentimental factor: Improving review classification via human-provided information","P Beineke, T Hastie, S Vaithyanathan","Proceedings of the 42nd annual meeting on association for computational …, 2004","2004","121"
"115","Inference from presence‐only data; the ongoing controversy","T Hastie, W Fithian","Ecography 36 (8), 864-867, 2013","2013","113"
"116","The graphical lasso: New insights and alternatives","R Mazumder, T Hastie","Electronic journal of statistics 6, 2125, 2012","2012","113"
"117","Statistical models","TJ Hastie, JM Chambers","Statistical Models in S, 13-44, 2017","2017","112"
"118","impute: Imputation for microarray data","T Hastie, R Tibshirani, B Narasimhan, G Chu","Bioinformatics 17 (6), 520-525, 2001","2001","109"
"119","Efficient quadratic regularization for expression arrays","T Hastie, R Tibshirani","Biostatistics 5 (3), 329-340, 2004","2004","106"
"120","Statistical methods for on-line signature verification","W Nelson, W Turin, T Hastie","International Journal of Pattern Recognition and Artificial Intelligence 8 …, 1994","1994","105"
"121","Matrix completion and low-rank SVD via fast alternating least squares","T Hastie, R Mazumder, JD Lee, R Zadeh","The Journal of Machine Learning Research 16 (1), 3367-3402, 2015","2015","103"
"122","Confidence intervals for random forests: The jackknife and the infinitesimal jackknife","S Wager, T Hastie, B Efron","The Journal of Machine Learning Research 15 (1), 1625-1651, 2014","2014","102"
"123","“Preconditioning” for feature selection and regression in high-dimensional problems","D Paul, E Bair, T Hastie, R Tibshirani","The Annals of Statistics 36 (4), 1595-1618, 2008","2008","101"
"124","Microelectrode recording revealing a somatotopic body map in the subthalamic nucleus in humans with Parkinson disease","P Romanelli, G Heit, BC Hill, A Kraus, T Hastie, HM Brontë-Stewart","Journal of neurosurgery 100 (4), 611-618, 2004","2004","98"
"125","Metrics and models for handwritten character recognition","T Hastie, PY Simard","Statistical Science, 54-65, 1998","1998","96"
"126","A model for signature verification","T Hastie, E Kishon, M Clark, J Fan","Systems, Man, and Cybernetics, 1991.'Decision Aiding for Complex Systems …, 1991","1991","94"
"127","gam: Generalized Additive Models, R Package, version 0.98","T Hastie","R Foundation for Statistical Computing: Vienna, Austria, 2013","2013","92"
"128","Point process models for presence‐only analysis","IW Renner, J Elith, A Baddeley, W Fithian, T Hastie, SJ Phillips, G Popovic, ...","Methods in Ecology and Evolution 6 (4), 366-379, 2015","2015","91"
"129","Discovery of molecular subtypes in leiomyosarcoma through integrative molecular profiling","AH Beck, CH Lee, DM Witten, BC Gleason, B Edris, I Espinosa, S Zhu, ...","Oncogene 29 (6), 845, 2010","2010","88"
"130","Margin trees for high-dimensional classification","R Tibshirani, T Hastie","Journal of Machine Learning Research 8 (Mar), 637-652, 2007","2007","87"
"131","Discussion of boosting papers","J Friedman, T Hastie, S Rosset, R Tibshirani, J Zhu","Ann. Statist 32, 102-107, 2004","2004","86"
"132","Bias correction in species distribution models: pooling survey and collection data for multiple species","W Fithian, J Elith, T Hastie, DA Keith","Methods in Ecology and Evolution 6 (4), 424-438, 2015","2015","85"
"133","Finite-sample equivalence in statistical models for presence-only data","W Fithian, T Hastie","The annals of applied statistics 7 (4), 1917, 2013","2013","85"
"134","Gene shaving: a new class of clustering methods for expression arrays","T Hastie, R Tibshirani, M Eisen, P Brown, D Ross, U Scherf, J Weinstein, ...","Genome Biology 1, 1-0003.21, 2000","2000","85"
"135","Microarray analysis of the transcriptional responseto single or multiple doses of ionizing radiation in human subcutaneous fibroblasts","OK Rødningen, J Overgaard, J Alsner, T Hastie, AL Børresen-Dale","Radiotherapy and Oncology 77 (3), 231-240, 2005","2005","84"
"136","Generalized linear models","D Pregibon, TJ Hastie","Statistical Models in S, 195-247, 2017","2017","83"
"137","REVEL: an ensemble method for predicting the pathogenicity of rare missense variants","NM Ioannidis, JH Rothstein, V Pejaver, S Middha, SK McDonnell, ...","The American Journal of Human Genetics 99 (4), 877-885, 2016","2016","83"
"138","Regression shrinkage and selection via the elastic net, with applications to microarrays","H Zou, T Hastie","JR Stat Soc Ser B 67, 301-20, 2003","2003","83"
"139","Applications of the lasso and grouped lasso to the estimation of sparse graphical models","J Friedman, T Hastie, R Tibshirani","Technical report, Stanford University, 2010","2010","77"
"140","Radiation-induced gene expression in human subcutaneous fibroblasts is predictive of radiation-induced fibrosis","OK Rødningen, AL Børresen-Dale, J Alsner, T Hastie, J Overgaard","Radiotherapy and oncology 86 (3), 314-320, 2008","2008","77"
"141","Characterization of heterotypic interaction effects in vitro to deconvolute global gene expression profiles in cancer","M Buess, DSA Nuyten, T Hastie, T Nielsen, R Pesich, PO Brown","Genome biology 8 (9), R191, 2007","2007","77"
"142","Exploring sentiment summarization","P Beineke, T Hastie, C Manning, S Vaithyanathan","Proceedings of the AAAI spring symposium on exploring attitude and affect in …, 2004","2004","76"
"143","Feature extraction for nonparametric discriminant analysis","M Zhu, TJ Hastie","Journal of Computational and Graphical Statistics 12 (1), 101-120, 2003","2003","76"
"144","Non-parametric logistic and proportional odds regression","T Hastie, R Tibshirani","Applied statistics, 260-276, 1987","1987","76"
"145","New multicategory boosting algorithms based on multicategory fisher-consistent losses","H Zou, J Zhu, T Hastie","The Annals of Applied Statistics 2 (4), 1290, 2008","2008","75"
"146","Learning the structure of mixed graphical models","JD Lee, TJ Hastie","Journal of Computational and Graphical Statistics 24 (1), 230-253, 2015","2015","74"
"147","Representing cyclic human motion using functional analysis","D Ormoneit, MJ Black, T Hastie, H Kjellström","Image and Vision Computing 23 (14), 1264-1276, 2005","2005","73"
"148","An exploration of sentiment summarization","P Beineke, T Hastie, C Manning, S Vaithyanathan","Proceedings of AAAI 3, 12-15, 2003","2003","73"
"149","Clustering microarray data","H Chipman, TJ Hastie, R Tibshirani","Statistical analysis of gene expression microarray data 1, 159-200, 2003","2003","73"
"150","Learning interactions via hierarchical group-lasso regularization","M Lim, T Hastie","Journal of Computational and Graphical Statistics 24 (3), 627-654, 2015","2015","71"
"151","Automatic smoothing spline projection pursuit","CB Roosen, TJ Hastie","Journal of Computational and Graphical Statistics 3 (3), 235-248, 1994","1994","70"
"152","Learning prototype models for tangent distance","T Hastie, P Simard","Advances in neural information processing systems, 999-1006, 1995","1995","66"
"153","The error coding method and PICTs","G James, T Hastie","Journal of Computational and Graphical Statistics 7 (3), 377-387, 1998","1998","63"
"154","Nonlinear estimators and tail bounds for dimension reduction in l1 using cauchy random projections","P Li, TJ Hastie, KW Church","Journal of Machine Learning Research 8 (Oct), 2497-2532, 2007","2007","62"
"155","& Friedman, J.(2008). The Elements of Statistical Learning; Data Mining, Inference and Prediction","T Hastie, R Tibshirani","Springer, New York, 0","","62"
"156","Risk estimation of distant metastasis in node-negative, estrogen receptor-positive breast cancer patients using an RT-PCR based prognostic expression signature","A Tutt, A Wang, C Rowland, C Gillett, K Lau, K Chew, H Dai, S Kwok, ...","Bmc Cancer 8 (1), 339, 2008","2008","61"
"157","Regression with an ordered categorical response","TJ Hastie, JL Botha, CM Schnitzler","Statistics in medicine 8 (7), 785-794, 1989","1989","61"
"158","1992","JM Chambers, TJ Hastie","Statistical models, 0","","61"
"159","Closed mitral valvotomy: actuarial analysis of results in 654 patients over 12 years and analysis of preoperative predictors of long-term survival","PJ Commerford, T Hastie, W Beck","The Annals of thoracic surgery 33 (5), 473-479, 1982","1982","60"
"160","Method for signature verification","JCS Fan, TJ Hastie, E Kishon","US Patent 5,111,512, 1992","1992","59"
"161","3‐D curve matching using splines","E Kishon, T Hastie, H Wolfson","Journal of Robotic Systems 8 (6), 723-743, 1991","1991","59"
"162","samr: Significance analysis of microarrays","R Tibshirani, G Chu, B Narasimhan, J Li","R package version 2, 2011","2011","58"
"163","Independent components analysis through product density estimation","T Hastie, R Tibshirani","Advances in neural information processing systems, 665-672, 2003","2003","58"
"164","Monographs on statistics and applied probability","TJ Hastie, RJ Tibshirani","Generalized additive models 43, 205-208, 1990","1990","58"
"165","Flexible discriminant and mixture models","T Hastie, R Tibshirani, B Andreas","Statistics and neural networks: advances at the interface, 1-23, 1999","1999","57"
"166","A fused lasso latent feature model for analyzing multi-sample aCGH data","G Nowak, T Hastie, JR Pollack, R Tibshirani","Biostatistics 12 (4), 776-791, 2011","2011","56"
"167","Conditional random sampling: A sketch-based sampling technique for sparse data","P Li, KW Church, TJ Hastie","Advances in neural information processing systems, 873-880, 2007","2007","56"
"168","Addendum: regularization and variable selection via the elastic net","H Zou, T Hastie","Journal of the Royal Statistical Society: Series B (Statistical Methodology …, 2005","2005","56"
"169","Shrinking trees","T Hastie, D Pregibon","AT & T Bell Laboratories, 1990","1990","56"
"170","Friedman.(2009)","T Hastie, R Tibshirani","The Elements of Statistical Learning: Data Mining, Infer, 0","","56"
"171","Margin maximizing loss functions","S Rosset, J Zhu, TJ Hastie","Advances in neural information processing systems, 1237-1244, 2004","2004","55"
"172","pamr: Pam: prediction analysis for microarrays","T Hastie, R Tibshirani, B Narasimhan, G Chu","R package version 1 (1), 2014","2014","54"
"173","A study of monitoring in secondary school physical education classes","PA Hastie, JE Saunders","The Journal of Classroom Interaction, 47-54, 1990","1990","54"
"174","Degrees‐of‐freedom tests for smoothing splines","E Cantoni, T Hastie","Biometrika 89 (2), 251-263, 2002","2002","53"
"175","A closer look at the deviance","T Hastie","The American Statistician 41 (1), 16-20, 1987","1987","53"
"176","1990. Generalized additive models","TJ Hastie, R Tibshirani","Monographs on statistics and applied probability 43, 2011","2011","52"
"177","Modeling nonlinear relationships in ERP data using mixed‐effects regression with R examples","A Tremblay, AJ Newman","Psychophysiology 52 (1), 124-139, 2015","2015","51"
"178","Gene expression programs of human smooth muscle cells: tissue-specific differentiation and prognostic significance in breast cancers","JT Chi, EH Rodriguez, Z Wang, DSA Nuyten, S Mukherjee, M Van De Rijn, ...","PLoS genetics 3 (9), e164, 2007","2007","51"
"179","Ischemia in three left ventricular regions: Insights into the pathogenesis of acute ischemic mitral regurgitation","TA Timek, DT Lai, F Tibayan, D Liang, GT Daughters, P Dagum, MK Zasio, ...","The Journal of thoracic and cardiovascular surgery 125 (3), 559-569, 2003","2003","51"
"180","Tibshirani, and J. Friedman","T Hastie","The Elements of Statistical Learning, Data mining, Inference and Prediction, 2001","2001","51"
"181","Friedman (2002) Elements of Statistical Learning","T Hastie, R Tibshirani, H Jerome","Springer, NY, 0","","51"
"182","Improving random projections using marginal information","P Li, TJ Hastie, KW Church","International Conference on Computational Learning Theory, 635-649, 2006","2006","50"
"183","Patient-derived health state utilities for gastroesophageal reflux disease","LB Gerson, N Ullah, T Hastie, G Triadafilopoulos, M Goldstein","The American journal of gastroenterology 100 (3), 524, 2005","2005","49"
